id,project.id,project.name,treatment,treatment.2,block,site,region,burn.name,site.type,latitude,longitude.x,accuracy.m,elevation.x,accuracy.vertical.m,slope.x,aspect.x,moisture,spp.density,spp.basal.area,bs.prop,stand.age,stand.origin,burn.year,above.biomass.prefire,above.carbon.prefire,above.biomass.combusted,above.carbon.combusted,prefireSOL,mean.resid,burn.depth,propSOL,below.ground.carbon.prefire,below.ground.carbon.combusted,prop.below.C,shrub.bio,tussock.dens,moss.type,sample.date,PFI,Ruggedness,BD_30,BD_100,pH_30,pH_100,Sand_30,Sand_100,Silt_30,Silt_100,Clay_30,Clay_100,SOC_30,SOC_100,tavg_5_8,tmax_5_8,prec_5_8,bio1_MAT,bio2_MDR,bio5_tmax_warm,bio12_MAP,NV,GRSH,DEC,BS,WS,JP,OCON,Ecoregion_LEVEL1,Ecoregion_LEVEL2,Ecoregion_LEVEL3,Ecoregion_NAME_L1,Ecoregion_NAME_L2,Ecoregion_NAME_L3,Ecoregion_Label,Perm_Ice_NUM_CODE,Perm_Ice_COMBO,Perm_Ice_EXTENT,Perm_Ice_CONTENT,Perm_Ice_LANDFORM,longitude.y,burn_year,DOB_lst,Precipitation,Temperature,Relative.humidity,Wind.speed,DC.y,DMC.y,FFMC.y,ISI.y,BUI.y,FWI.y,DSR,Peat,Tree.cover,Distanceunburned,dNBR,TCB,elevation.y,slope.y,aspect.y,TWI,CNA_Tave_5_8,CNA_Tmax_5_8,CNA_Tmin_5_8,CNA_PPT_5_8,CNA_Rad_5_8,CNA_RH_5_8,CNA_CMD_5_8,CNA_MAT,CNA_MAP,CNA_MWMT,CNA_TD,CNA_DD5,CNA_DD18,CNA_NFFD,CNA_FFP,CNA_PAS,CNA_CMD,CNA_MAR,CNA_RH,CNA_SHM,moisture.new
sf.335,AK_KT.sf.1,AK_KT,Burn,,NA,AK_KT_CR03B1,AK,Albert Creek (AC03),,65.58842,-144.715,NA,NA,NA,,NA,,NA,NA,NA,NA,,2003,NA,NA,NA,NA,19,14.5,4.5,0.236842105,NA,620.646438,NA,NA,NA,,,0.414581001,2.865364075,1.081333333,1.21745,5.475,5.8075,25.91666667,27.625,57.66666667,56.25,15.66666667,15.9,39600,103900,12.35000002,18.47499967,30.75,-6.037499982,12.258333,22,213,-1.11E-16,0.647058845,0.155709341,0.179930791,0.017301038,0,0,3,3.1,3.1.1,Taiga,Alaska Boreal Interior,Interior Forested Lowlands and Uplands,3.1.1: Interior Forested Lowlands and Uplands,18,Dlr,D,l,r,-144.715,2003,168.4848022,2.591295958,15.66091347,67.07570648,8.444941521,55.58876419,11.06664562,58.40592575,0.562981129,14.77817154,0.42397666,0.00595613,FALSE,27.44444444,282.5624997,NA,0.2,245.3333333,18.10688019,256.9790955,9.850150759,12.8,19.5,6.1,31.75,15.85,58.5,57,-5.3,227,16.3,43,1033,34,119,90,85,234,8.1,59,109.3,NA
sf.344,AK_KT.sf.10,AK_KT,Burn,,NA,AK_KT_BYM04,AK,Boundary (BY04),,65.12245,-147.43168,NA,465,NA,10,0,,NA,7.97,NA,173,,2004,NA,NA,NA,NA,41.2,12.9,28.3,0.686893204,NA,7090.889123,NA,NA,NA,,,0.383526474,3.882304192,0.954833333,1.1832,5.55,5.965,31.08333333,32.825,58.08333333,57.275,10.83333333,10.25,34800,76400,11.77499986,16.87499976,41.5,-2.966666808,10.1833335,19.29999924,315,1.13E-17,0.003460208,0.062283736,0.477508664,0.456747413,0,0,6,6.1,6.1.1,Northwestern Forested Mountains,Boreal Cordillera,Interior Highlands and Klondike Plateau,6.1.1: Interior Highlands and Klondike Plateau,6,Dmf,D,m,f,-147.43168,2004,183.1008759,0.002733609,21.90535927,65.00031281,15.29286385,269.2059021,56.82123184,86.74777985,5.816030502,74.38919067,18.51378632,4.764698982,FALSE,79.22222222,1248.660468,0.63,NA,453,41.17037582,350.2049866,8.709541133,13.05,18.975,7.125,62.25,15.675,63,26.25,-1.2,402,16.1,34,1091,33,136,94,111,134,8.1,61,54.6,NA
sf.434,AK_KT.sf.100,AK_KT,Burn,,NA,AK_KT_NBM02,AK,North Bonanza (NB05),,66.65007,-150.66595,NA,304,NA,0,NA,,NA,12.27,NA,55,,2005,NA,NA,NA,NA,25.9,4.2,21.7,0.837837838,NA,8301.59999,NA,NA,NA,,,0.650015831,3.404141903,0.94975,1.105025,5.025,5.4425,33.41666667,35.275,55.83333333,54,11,10.8,27800,61900,12.00000012,17.07500029,43.5,-4.924999972,10.20000015,20.70000076,330,0.003460208,0.325259507,0.006920415,0.290657431,0.373702437,0,0,3,3.1,3.1.1,Taiga,Alaska Boreal Interior,Interior Forested Lowlands and Uplands,3.1.1: Interior Forested Lowlands and Uplands,6,Dmf,D,m,f,-150.66595,2005,188.9099579,7.598586559,14.4599247,56.95827866,5.766819477,128.2279663,11.56745052,51.92295074,0.274097383,18.8775425,0.23962675,0.002169434,FALSE,64.11111111,256.0772731,NA,NA,277.4444444,26.48906136,34.09164429,8.633840865,11.95,18.225,5.725,53.25,16.3,60.75,29,-5.4,405,15.4,39.3,917,21,116,98,139,116,8.3,57,52.2,NA
sf.435,AK_KT.sf.101,AK_KT,Burn,,NA,AK_KT_PC91B,AK,Porcupine (PE90),,63.45672,-142.49044,NA,NA,NA,,NA,,NA,NA,0.034177984,NA,,1990,NA,NA,NA,NA,19.7,9.2,10.5,0.532994924,NA,1550.980529,NA,NA,NA,,,0.548227966,3.116098166,0.711916667,0.917775,5.25,5.685,36.25,37.925,53,51.15,10.75,10.925,34100,83200,10.07500017,15.5999999,44.5,-5.054166704,10.99166693,17.89999962,253,-2.78E-17,0.055363324,0.05882353,0.87889272,0.006920415,0,0,6,6.1,6.1.1,Northwestern Forested Mountains,Boreal Cordillera,Interior Highlands and Klondike Plateau,6.1.1: Interior Highlands and Klondike Plateau,18,Dlr,D,l,r,-142.49044,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,37.44444444,NA,NA,NA,895.6666667,25.70448875,205.9411621,8.044351942,11.225,17.575,4.9,52.25,16.925,60.25,31.75,-2.6,340,14.1,32.9,853,13,119,73,107,127,9,60,57.9,NA
sf.436,AK_KT.sf.102,AK_KT,Burn,,NA,AK_KT_P1B,AK,Porcupine (PE04),,63.56252,-142.36474,NA,NA,NA,,NA,,NA,NA,1,NA,,2004,NA,NA,NA,NA,21.3,11.3,10,0.469483568,NA,2788.858617,NA,NA,NA,,,0.572232306,3.045751572,0.79025,1.056675,5.375,5.7325,35.5,38.75,53.66666667,51,11.08333333,10.475,29700,67900,10.2249999,15.70000005,44.75,-4.862500037,10.92499996,18.10000038,250,-4.16E-17,0.100346021,0.114186853,0.217993081,0.567474067,0,0,6,6.1,6.1.1,Northwestern Forested Mountains,Boreal Cordillera,Interior Highlands and Klondike Plateau,6.1.1: Interior Highlands and Klondike Plateau,18,Dlr,D,l,r,-142.36474,2004,176.906601,0.070843354,24.9958744,47.10855865,7.354619503,203.9278107,36.9242363,86.00088501,3.508348942,50.83661652,10.05268955,1.61662209,FALSE,45,995.6117514,0.33,0.22,828.1111111,44.416996,83.04718781,8.122029831,11.575,17.95,5.2,48.5,17.05,60.25,36.25,-2.5,310,14.4,33.4,894,16,121,75,94,177,9.1,61,64,NA
sf.437,AK_KT.sf.103,AK_KT,Burn,,NA,AK_KT_P2B,AK,Porcupine (PE04),,63.48982,-142.4224,NA,NA,NA,,NA,,NA,NA,1,NA,,2004,NA,NA,NA,NA,18.9,12.1,6.8,0.35978836,NA,1223.738204,NA,NA,NA,,,0.463801324,2.860142231,0.803916667,0.993725,5.425,5.8575,36.75,41.475,55.5,51.15,8,7.65,33600,78100,10.64999998,16.4000001,44.25,-5.216666654,11.54999982,18.79999924,251,1.39E-17,0.017301038,0.034602076,0.730103791,0.217993081,0,0,6,6.1,6.1.1,Northwestern Forested Mountains,Boreal Cordillera,Interior Highlands and Klondike Plateau,6.1.1: Interior Highlands and Klondike Plateau,18,Dlr,D,l,r,-142.4224,2004,182.4786835,0.000122039,20.90288734,55.53748703,8.766420364,248.8742065,50.1283989,86.23630524,3.89387393,66.67998505,12.83013725,2.489650249,FALSE,72.66666667,706.4940465,0.5,0.18,805.3333333,37.58732224,169.9029388,7.264753343,11.6,17.975,5.225,48.75,16.85,60.25,36.5,-2.6,313,14.4,33.8,896,16,121,75,95,178,9,60,63.9,NA
sf.438,AK_KT.sf.104,AK_KT,Burn,,NA,AK_KT_P6B,AK,Porcupine (PE04),,63.4748,-142.45154,NA,NA,NA,,NA,,NA,NA,0.972466442,NA,,2004,NA,NA,NA,NA,18.9,10.7,8.2,0.433862434,NA,1073.838712,NA,NA,NA,,,0.523647845,2.948860168,0.690083333,0.883425,5.083333333,5.545,40.25,44.075,51.91666667,47.975,7.833333333,7.4,33000,82100,10.42499995,16.07500005,44.25,-5.179166635,11.29166671,18.39999962,250,-2.78E-17,0.117647059,0.003460208,0.294117659,0.58477509,0,0,6,6.1,6.1.1,Northwestern Forested Mountains,Boreal Cordillera,Interior Highlands and Klondike Plateau,6.1.1: Interior Highlands and Klondike Plateau,18,Dlr,D,l,r,-142.45154,2004,176.9063873,0.070843354,24.9958744,47.10855865,7.354619503,203.9278107,36.9242363,86.00088501,3.508348942,50.83661652,10.05268955,1.61662209,FALSE,25.55555556,2327.857225,0.54,0.18,817,44.36518478,100.7867737,7.112237881,11.55,17.925,5.175,49,16.95,60.25,36,-2.6,316,14.4,33.7,891,16,121,76,97,175,9.1,60,63.1,NA
sf.439,AK_KT.sf.105,AK_KT,Burn,,NA,AK_KT_P10B,AK,Porcupine (PE04),,63.35498,-142.62222,NA,NA,NA,,NA,,NA,NA,0.684163188,NA,,2004,NA,NA,NA,NA,17.1,4.8,12.3,0.719298246,NA,3732.612403,NA,NA,NA,,,0.350591421,3.325831652,0.949416667,1.180425,5.766666667,6.42,36.5,39.8,54.33333333,51.35,8.666666667,8.7,25000,47900,11.47500002,17.25000024,42.25,-4.545833327,11.50833351,19.70000076,256,-3.12E-17,0.013840831,0.031141868,0.885813177,0.069204152,0,0,6,6.1,6.1.1,Northwestern Forested Mountains,Boreal Cordillera,Interior Highlands and Klondike Plateau,6.1.1: Interior Highlands and Klondike Plateau,10,Dlf,D,l,f,-142.62222,2004,196.0934296,0.939878702,23.75997353,52.58987808,3.986464024,304.7483215,33.86415482,84.65942383,2.458780289,53.00366211,7.585691929,0.98211062,FALSE,82.77777778,335.0247834,0.49,0.21,630.2222222,25.99706268,293.1455383,9.512943045,11.8,18.325,5.3,43.75,16.65,59.25,42.75,-3,289,14.7,35.9,921,18,121,79,89,202,8.7,59,70.8,NA
sf.440,AK_KT.sf.106,AK_KT,Burn,,NA,AK_KT_P11B,AK,Porcupine (PE04),,63.35435,-142.62485,NA,NA,NA,,NA,,NA,NA,0.764264649,NA,,2004,NA,NA,NA,NA,13.9,3.5,10.4,0.748201439,NA,2947.198854,NA,NA,NA,,,0.350591421,3.325831652,0.96825,1.178625,5.691666667,6.3275,36,38.95,55.41666667,52.725,8.583333333,8.325,25600,50200,11.47500002,17.25000024,42.25,-4.545833327,11.50833351,19.70000076,256,2.08E-17,0.044982698,0,0.882352948,0.072664358,0,0,6,6.1,6.1.1,Northwestern Forested Mountains,Boreal Cordillera,Interior Highlands and Klondike Plateau,6.1.1: Interior Highlands and Klondike Plateau,10,Dlf,D,l,f,-142.62485,2004,196.0934296,0.939878702,23.75997353,52.58987808,3.986464024,304.7483215,33.86415482,84.65942383,2.458780289,53.00366211,7.585691929,0.98211062,FALSE,83.66666667,250,0.75,0.18,627.2222222,33.41010284,185.5681152,7.506150722,11.8,18.35,5.3,43.75,16.65,59.25,42.75,-3,289,14.7,35.9,922,18,121,79,89,202,8.7,59,70.9,NA
sf.441,AK_KT.sf.107,AK_KT,Burn,,NA,AK_KT_P12B,AK,Porcupine (PE04),,63.34988,-142.66157,NA,NA,NA,,NA,,NA,NA,1,NA,,2004,NA,NA,NA,NA,11.2,0.8,10.4,0.928571429,NA,2947.198854,NA,NA,NA,,,0.270753413,3.104364395,0.959666667,1.14,5.766666667,6.33,37.16666667,40.15,55.08333333,51.925,8,8,26900,55800,11.80000007,17.89999962,41.5,-4.72916658,12.24166646,20.39999962,255,0.027681662,0.138408303,0,0.653979242,0.179930791,0,0,6,6.1,6.1.1,Northwestern Forested Mountains,Boreal Cordillera,Interior Highlands and Klondike Plateau,6.1.1: Interior Highlands and Klondike Plateau,10,Dlf,D,l,f,-142.66157,2004,199.5169373,0.896514952,21.81884193,49.2087326,4.210061073,320.1697388,27.31933594,77.57460022,1.124924183,45.03239822,2.986390352,0.188615918,TRUE,60.44444444,353.0262209,0.6,0.18,530.8888889,15.70793438,94.47894287,8.438677976,12,18.55,5.375,39.75,16.725,59,47.75,-3.3,260,14.9,37.2,942,19,122,82,78,226,8.8,59,79.1,NA
